name,description,image,type,latlong
The Cathedral Church of Christ,By emaded0r,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c0/4e/05/the-cathedral.jpg?w=500&h=-1&s=1,Churches & Cathedrals,"[6.46397206226325, 3.3948612070063096]"
Jabi Lake Mall,"The lake is at the very edge of the mall, and you can access it from inside- from the lower level. The 'waterfront...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d2/08/9e/most-luxurious-mall-in.jpg?w=500&h=400&s=1,Shopping Malls,"[9.07670165850996, 7.4253276588234245]"
Badagry Slave Museum and Black History Museum,"The first educational system in Nigeria started in Badagry, where the first primary school was established by the...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ae/14/2a/the-long-route-the-slaves.jpg?w=500&h=-1&s=1,Speciality Museums,"[6.479502016210823, 2.8952409862160398]"
Lvi Art Gallery And Cultural Nexus,Wonderful Experience,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/d7/3a/db/lvi-art-gallery-and-cultural.jpg?w=500&h=400&s=1,Art Galleries,"[6.43696401759208, 3.4795195524475218]"
Nike Art Centre,I recommend that both places should be visited to have a better appreciation of these works.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/4e/57/20190409-064553-largejpg.jpg?w=500&h=400&s=1,Art Galleries • Art Museums,"[6.4317725876551775, 3.4819973812830165]"
Jabi Boat Club,Special Thank you the great team of Jabi Boat 🚣‍♀️ Club making my beautiful visit a great 👍🏽 one . Love ❤️ it,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7f/e8/1a/reawakening-the-sights.jpg?w=500&h=400&s=1,Points of Interest & Landmarks,"[9.069966579534416, 7.414695652468204]"
Ado Awaye Mountains and Suspended Lakes,Ado-awaye is not just a community with the mysterious suspended lake or amazing landscapes it itself and experience and...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/42/37/3f/the-suspended-lake-also.jpg?w=500&h=-1&s=1,Mountains,"[7.7935728059362726, 3.3993214506081073]"
Dunes,"The ground floor, (main entrance floor), houses a well stocked pharmacy (Shalem Pharmacy), vibrant supermarket and...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/63/b5/92/dunes-center.jpg?w=500&h=400&s=1,Shopping Malls,"[6.927275278330317, 3.5260076486717233]"
Jabi Lake,"The lake provides a beautiful, scenic waterfront backdrop to the mall. A winding lane/pathway at the edge of the lake...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/5b/6c/fb/jabi-lake-park-abuja.jpg?w=500&h=400&s=1,Bodies of Water,"[9.074410925787692, 7.420062062485317]"
UI Zoo,"Though it was packed with people, we still had a nice time and I think the zoo continues to be well kept....",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f9/82/79/photo9jpg.jpg?w=500&h=400&s=1,Zoos,"[7.443066384458866, 3.8948807119739848]"
Omu Resort,"Interesting collections of animals like lion, ostrich, emu, chimpanzee, jackal, baboons, spotted hyena, etc. Climax of...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/f7/55/9a/omu-resort.jpg?w=500&h=-1&s=1,Water Parks,"[6.489428495423648, 3.7539911947767735]"
Zuma Rock,I always feel the awesomeness of this natural monument of Zuma rock having humanlike face whenever I travels the Abuja...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4b/63/d4/the-magnificent-zuma.jpg?w=500&h=400&s=1,Geologic Formations,"[9.126572635853897, 7.228631426178809]"
Usuma Dam,"You can't go wrong with this place..this is nature! You can do almost everything (eat, have a date, family get-together...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a6/4f/c0/usman-dam.jpg?w=500&h=400&s=1,Dams,"[9.192796693810067, 7.417654721785176]"
Gurara Water Falls,From the landscape to the falling waters with a thunderous sound. I sure had a wonderful moment hiking around the...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fe/78/75/gurara-water-falls.jpg?w=500&h=-1&s=1,Waterfalls,"[9.314945975941212, 7.020112581306209]"
Elegushi Beach,It's also a fun place to be cuz you'll always see people on the beach. Feeding is quiet on the high side but the good...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/af/e0/f7/beautiful.jpg?w=500&h=-1&s=1,Beaches,"[6.422402665466682, 3.4864622986819644]"
Bature Brewery,"Given Abuja's weather, taking your beer to an outside table can be a relaxing experience. Their staff are really...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/79/af/d2/craft-beer-naija-style.jpg?w=500&h=400&s=1,Breweries,"[6.433502747987469, 3.4339337812830326]"
Red Door Art Gallery,"Her knowledge about all the pieces was impressive. The art at Red Door is modern, beautiful, fun, ornate, fresh, yet...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/00/59/ee/red-door-gallery-2nd.jpg?w=500&h=-1&s=1,Art Galleries,"[6.42406, 3.4210696]"
Yankari Game Reserve,"You’ll also find amazing trees , beautifully constructed huts alongside uncaged monkeys and baboons who are ready to...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/18/57/b0/yankari-game-reserve.jpg?w=500&h=400&s=1,Nature & Wildlife Areas,"[9.7566733, 10.5094096]"
Emir's Palace,I sat where the 1st British governor who visited his great grand father sat. Saw the royal stables and actually saw the...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/a9/b8/c1/stand-where-emir-sits.jpg?w=500&h=400&s=1,Historic Sites • Points of Interest & Landmarks,"[11.9920002, 8.518967]"
Black Heritage Museum,"knowledge, wisdom and understanding of the culture of the Nigeria and its people. its a must see to tourist from any...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a1/69/95/pic-of-type-of-ship-used.jpg?w=500&h=-1&s=1,History Museums,"[6.4125768, 2.8922902]"
Idanre Hills,Tickets were at a 1000 per person and you give whatever you agree with your tourguide as an appreciation for the tour...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/22/8f/d0/breathtaking-views-and.jpg?w=500&h=-1&s=1,Geologic Formations,"[7.10610695, 5.10537045]"
Anglican Church of Nigeria,it is found in duola street zone 5 in the federal capital city of nigeria. it is a place of worship for christians...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f9/ad/dd/getlstd-property-photo.jpg?w=500&h=-1&s=1,Churches & Cathedrals,"[7.9704656, 7.4764637]"
Agodi Gardens,"Dear Sir, I wish to inform you that I am the Thompson Patience Bunmi that sing love by patience whom you are looking...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8e/48/5d/donkeys.jpg?w=500&h=400&s=1,Gardens,"[7.40717555, 3.9002538]"
Magicland Amusement Park,My husband took me and my sister in law to this amusement park and I love it. Tho I was afraid to ride because of my...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4f/a1/8c/img-20190424-175407-largejpg.jpg?w=500&h=-1&s=1,Amusement & Theme Parks • Playgrounds,"[9.0428646, 7.4520551]"
Johnson Jakande Tinubu Park,How much is the gate fee for a family or 4 And if there is enough space for the kids to have fun ? Please,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/66/ff/57/eyo-statue-flanked-with.jpg?w=500&h=400&s=1,Parks,"[6.6151813, 3.3639417]"
Erin Ijesha Waterfall (Olumirin Waterfalls),"The whispering waterfall is cold and refreshing to the body. Fun to be here. Though this place got seven plains, but we...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/40/4d/1c/photo5jpg.jpg?w=500&h=-1&s=1,Waterfalls,"[7.5651908, 4.9021896]"
Landmark Beach,"Landmark beach is a nice hangout spot for those seeking a beach day out. It well organised, free from urchins (touts...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/50/f3/54/getlstd-property-photo.jpg?w=500&h=-1&s=1,Beaches • Beach & Pool Clubs,"[6.42220135, 3.4457216]"
Thought Pyramid Art Centre,"There is a restaurant- (SPICE PLATTER RESTAURANT), on the premises of The Thought Pyramid, right beside the entrance to...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/be/98/04/thought-pyramid-art-centre.jpg?w=500&h=-1&s=1,Art Galleries • Art Museums,"[7.75999835, 5.44019465]"
Leisure Sports Paintball Landmark,Super fun,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d9/56/59/overview.jpg?w=500&h=-1&s=1,Game & Entertainment Centres,"[6.4221385, 3.4486034]"
An Noor Mosque,The mosque is clean and spacious.There is the men's section and the female section.The mosque smell so nice due to...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f9/ae/9f/getlstd-property-photo.jpg?w=500&h=400&s=1,Religious Sites,"[9.0676276, 7.4378184]"
Alexis Galleries,"They had such varied 'artistic expressions' here, including LANDSCAPES PAINTINGS, WATERCOLOR CANVASES, CONTEMPORARY P...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/68/9f/60/alexis-galleries.jpg?w=500&h=400&s=1,Art Galleries,"[6.4314524, 3.4200379]"
Kalakuta Republic Museum,"Pictures from his life from early on, artwork inspired by him from other artists and of course his preserved living...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/58/b6/a5/kalakuta-museum-front.jpg?w=500&h=-1&s=1,Speciality Museums,"[6.6029648, 3.3485867]"
Kajuru Castle,So its actually more attractive to groups or couples who love being alone in castles :-)...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/3b/ef/23/20171002-081326-largejpg.jpg?w=500&h=-1&s=1,Castles,"[10.3124304, 7.679279]"
Benin National Museum,This museum provides you information on the Benin the Kingdom and the traditions and belief system of the benin people...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/fa/66/e6/photo4jpg.jpg?w=500&h=400&s=1,History Museums,"[6.38645255, 6.55540545]"
Gberefu Island (Point of No Return),A place one should visit. Mr Simon ‘cornerstone’ did good showing us around and kudos to Mr Temitope too...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f1/70/ca/photo2jpg.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Historic Walking Areas,"[6.3938959, 2.8795513]"
Olusegun Obasanjo Presidential Library,"His prison wears, watercan, and his farm product(maize) are still there in the library. President olusegun obansajo...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/86/a1/bb/oulusegun-obansanjo-library.jpg?w=500&h=400&s=1,Libraries,"[7.13245885, 3.35228365]"
The National Museum,The interior contains a sizable display of different artifacts from several Nigerian tribes. It's mostly a self-guided...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/2d/c9/c2/the-national-museum.jpg?w=500&h=400&s=1,Speciality Museums,"[6.4442681, 3.4036542]"
Redline Leisure Beach Resorts Ajah,The fee to the entrance is affordable and other activities within are chargeable. A day at redline leisure Beach Resort...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/33/55/38/img-20200912-wa0047-largejpg.jpg?w=500&h=400&s=1,Beaches,"[6.4251862, 3.6282594]"
Kurmi Market,"Artifacts, souvenirs, leather works, local textiles, beads, chains are just a few items you find. Most things available...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/d8/7e/08/dungurawa-caps-is-the.jpg?w=500&h=400&s=1,Flea & Street Markets,"[12.0036792, 8.5151966]"
Mega Plaza Century 21 Mall,"This is one of the go to places in Victoria Island. There is a supermarket, gift store, bar/club at the top, stationery...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ca/c4/8c/mega-plaza-century-21.jpg?w=500&h=-1&s=1,Shopping Malls,"[6.4333023, 3.4205211]"
Abuja National Mosque,"Abuja National Mosque, also known as The National Mosque of Nigeria, and The Nigerian National Mosque is an impressive...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/32/24/af/getlstd-property-photo.jpg?w=500&h=-1&s=1,Health Clubs • Points of Interest & Landmarks,"[9.0602424, 7.4898018]"
Dreamworld Africana,dreamworld is all about fun the exciting rides the sport academy and other exciting things it is the perfect place for...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/85/c7/d9/the-red-baron.jpg?w=500&h=-1&s=1,Amusement & Theme Parks,"[6.4411944, 3.5422479]"
Iga Idungaran,"Iga Odungaran is the palace of the paramount ruler of lagos Oba Rilwan Akiolu, its a historical landmark in the city of...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f7/e9/59/iga-idungaran.jpg?w=500&h=400&s=1,Government Buildings,"[6.4656671, 3.3899724]"
Eleko Beach,It is a serene environment where nature will nature you. My experience at the beach is not something to forget easily...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ad/94/34/eleko-beach.jpg?w=500&h=400&s=1,Beaches,"[6.438705, 3.854847]"
Palms Shopping Mall,👏🏽 Was happy to see L'OCCITANE- a French shop I really like at 'Shoprite'. The plentiful shops/service stores at the...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/22/89/2e/p-20160928-112247-largejpg.jpg?w=500&h=400&s=1,Department Stores,"[6.4357545, 3.4516297]"
Ikogosi Warm Springs,One thing is definitely sure if you want to visit Ikogosi warm and cold spring on a day trip you a better offer coming...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e3/91/93/anago-james-akeem-osho.jpg?w=500&h=400&s=1,Hot Springs & Geysers,"[7.5902852, 4.98589105]"
Kwa Falls,Mild hike with a few difficult spots (about 234 steps to get down). The caretaker son is a top notch guide. He can also...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ce/36/7d/the-waterfall-at-the.jpg?w=500&h=400&s=1,Waterfalls,"[5.1425974, 8.5101399]"
Discovery Park Abuja,Something to look forward to next time! 👌🏽 I have to give top marks to the Art Tech District for it's dazzling...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/48/7c/44/children-s-playground.jpg?w=500&h=-1&s=1,Art Galleries • Children's Museums,"[9.0376153, 7.4784087]"
Sachs Gallery,"Sachs has been my go to gallery, it’s always a delight any day and time . Looking to make your home pop? Sachs gallery...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/aa/dd/c9/elegant-view-of.jpg?w=500&h=400&s=1,Art Galleries • Antique Shops,"[6.4571294, 3.4709133]"
OOPL Wildlife Park,OOPL provides amenities more than wildlife. It is a wonderful place for the family with opportunities to visit the...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a0/65/03/the-picture-was-taking.jpg?w=500&h=400&s=1,Zoos,"[7.1256609, 3.3628511]"
Sukur,Historic Sites,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Historic Sites,"[10.7370077, 13.5688018]"
Ogirikan Art Gallery,"For a refreshing look at vibrant unique and raw African talent, Ogirikan is an opening into the depth of artistry...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/12/8b/ba/paintings-of-past-exhibitions.jpg?w=500&h=400&s=1,Art Galleries,"[6.4418685, 3.4207635]"
Atican Beach,The beach itself is one of the cleaner beaches in Lagos and a great place to spend the day and to play in the waves....,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/01/72/86/taking-selfie.jpg?w=500&h=-1&s=1,Beaches,"[6.42495805, 3.59712115]"
The Lennox Mall,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/78/3c/b7/getlstd-property-photo.jpg?w=500&h=400&s=1,Shopping Malls,"[6.439042, 3.4554447]"
Jaekel House,I learnt a lot about colonial Lagos and i look forward to my next visit. #Historical #GreatEscape #Tranquil...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/82/e2/0e/getlstd-property-photo.jpg?w=500&h=-1&s=1,Speciality Museums • Historic Sites,"[6.4889839, 3.3782691]"
Farin Ruwa Falls,Totally Amazing. You'll have a better experience during the dry season and you'll do well to pack water and snacks.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/3c/48/3e/farin-ruwa-falls.jpg?w=500&h=400&s=1,Waterfalls,"[9.14797755, 8.7570728]"
Murtala Muhammed Library,"Has a hall for seminars, and an average collection of books, nice place to sit and study. Plenty parking space.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/fa/59/52/aliyu-a-aliyu-from-kaduna.jpg?w=500&h=400&s=1,Libraries,"[11.9985815, 8.5591916]"
Owu Falls,"The Water Fall Is Located In Owa Onire Under Ifelodun Local Government, Kwara State, Nigeria.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6f/4e/e6/my-visit-to-owu-water.jpg?w=500&h=400&s=1,Waterfalls,"[8.34032, 5.142196]"
Badagry Building,This is also an important heritage of the Christian faith in West Africa. It is important and the house is a typical...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/88/d5/the-first-story-building.jpg?w=500&h=400&s=1,Historic Sites,"[6.4119122, 2.88687115]"
Genesis Art Gallery,Art Galleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/41/14/ab/tadese-faforiji-in-genesis.jpg?w=500&h=400&s=1,Art Galleries,"[7.817421, 4.5888995]"
Odu’a Museum and Hall Of Fame,"Beyond this limitation, we had a smashing time. First, it was on the topmost floor of Cocoa House, so to visit it means...",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,History Museums,"[7.3878169, 3.879034]"
Oduduwa Shrine and Grove,The groove and site is a great historical and educational site. A local chief resides at the site and is ever willing...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/48/71/9d/oduduwa-was-the-first.jpg?w=500&h=-1&s=1,Religious Sites,"[7.4847145, 4.5600437]"
Grand Towers Abuja Mall,Most rooms are equipped with a Jacuzzi tub. It offers complimentary breakfast to guests.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/df/2b/9c/grand-towers-abuja-mall.jpg?w=500&h=400&s=1,Shopping Malls,"[9.096659, 7.497272]"
Agia Tree Monument,This place is important to the foundation of missionary or evangelical works in Nigeria. It is a place to be in the...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/94/da/af/agia-tree-monument.jpg?w=500&h=-1&s=1,Historic Sites • Monuments & Statues,"[6.413785, 2.8822569]"
Topfat Art Gallery,"This is a must-see tourist destination, and a hub for the best of the best art in Ibadan, Nigeria, if not the...",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[7.3946209, 3.884825]"
Ushafa,"It's good for tourists but only raining season, security Is okay, but there is a place you don't go except you are an...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d2/4b/d3/20210322-84725-largejpg.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Scenic Walking Areas,"[9.20787315, 7.4036458]"
Elbow Room,"So many beautiful pictures |The sun was beautiful aswell,we telephoned the attendant on our sit,was convenient",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a6/26/c4/simple-and-fun-place.jpg?w=500&h=400&s=1,Bodies of Water,"[7.3630805, 3.8660762]"
Okomu National Park,You must invest your time if you wish to experience the wildlife in national parks. Ideally early mornings or at dawn...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e7/19/be/base-of-tree-house.jpg?w=500&h=-1&s=1,State Parks,"[6.2537664, 5.2684437]"
National Stadium,"From where we parked, it was 1km riding to and from the upper limit of the stadium, and another 0.5km riding to and...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/82/64/ff/family-fun-faze.jpg?w=500&h=400&s=1,Arenas & Stadiums,"[9.038036, 7.4534569]"
Adonisplaza Paintball And Games Center,"Paintball game , tables tennis, snooker, virtual reality , PS4 and lot of games to keep you exciting Fun and thrilling...",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Sports Complexes • Game & Entertainment Centres,"[7.1741959, 3.3856519]"
Crusifix Games and Lounge,We had massive fun and virtual was looking real I felt it.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/2f/6f/78/caption.jpg?w=500&h=400&s=1,Game & Entertainment Centres,"[6.4902269, 3.3572991]"
Amani Spa & Wellness,"I had a hot stone massage, my therapist was named Yvette.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6a/55/d0/treatment-session.jpg?w=500&h=400&s=1,Health Clubs • Neighbourhoods,"[6.5816665, 3.3586593]"
NAPO Bookshop,"It's a quaint, adorable bookshop with attractive wooden decorations and unique memorabilia located by the more...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/d1/2c/caption.jpg?w=500&h=400&s=1,Art Galleries,"[9.0827595, 7.498885]"
Idere Hills,"Over 1200 tourists from all over Nigeria. I had maximum fun. The rock formations are amazing, the hiking was very...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/08/69/img-20200618-wa0067-largejpg.jpg?w=500&h=400&s=1,Geologic Formations,"[7.5386861, 3.1601753]"
Port Harcourt Zoo,On the good side the staff guide who led us is very knowledgeable of the place and the animals....,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/f8/55/a-donkey.jpg?w=500&h=400&s=1,Zoos,"[4.8121593, 7.0454657]"
Orisun Art Gallery,"Orisun Art Source offers the following services- ACQUISITION OF AUTHENTIC ART, LITERARY EXPOSITIONS, ART DEALERSHIP...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/92/7f/b0/orisun-art-source-interior.jpg?w=500&h=400&s=1,Art Galleries,"[9.0538111, 7.4783753]"
Velekete Slave Market,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/b8/fa/getlstd-property-photo.jpg?w=500&h=400&s=1,Historic Sites,"[6.40569835, 2.88611925]"
Henrimoweta African Art Centre,👍🏽 I want to once again say a big thank you to GIDEON and BIMBO for being so sweet and courteous. GIDEON is a...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/10/14/the-very-many-local-arts.jpg?w=500&h=400&s=1,Art Galleries,"[6.5697885, 3.3824304]"
Arinta Waterfall,"Arinta Waterfalls is located in Ipole-Iloro town in Ekiti-State, separated from Ikogosi-Ekiti by an arm of the...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/04/04/7e/at-the-first-level-of.jpg?w=500&h=400&s=1,Waterfalls,"[7.552963, 4.9274041]"
Cross River National Park,National Parks • Forests,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d4/76/e2/the-park.jpg?w=500&h=400&s=1,National Parks • Forests,"[5.5805318, 8.7481167]"
Maitama Farmers Market,Relaxing massage￼  Swedish massage￼  Lomi lomi massage￼  Aromatherapy massage￼...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Farmers Markets,"[9.0859985, 7.4942499]"
The Arena Nigerian Army Shopping Arena,Till I visited this Shopping compound I can say where all types of shops are encased in a huge place with lot of...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7a/50/1c/is-arena-shopping-mall.jpg?w=500&h=400&s=1,Shopping Malls,"[6.56438695, 3.3496163]"
Floatherapy Lagos,"Room smell so nice. The Epsom salt made me float, even though I dont know how to swim. This is so innovative. This is...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/58/e1/53/floatherapy-lagos.jpg?w=500&h=400&s=1,Thermal Spas,"[6.468212, 3.412668]"
Giwa Gardens Waterpark,Water Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/74/81/ee/lazy-revier-at-giwa-gardens.jpg?w=500&h=-1&s=1,Water Parks,"[6.4591875, 3.6275625]"
Campos Mini Stadium,"Had a wonderful time watching a couple of football matches, filled with participating football-loving celebrities and...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a2/1b/34/in-the-stands.jpg?w=500&h=400&s=1,Sports Complexes,"[6.4511871, 3.3947351]"
"Nike Art Gallery,Guesthouse & Workshop","It was indeed a spectacular experience. We climbed the Ogidi mountain within the Nike Art Center, and the view from the...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/2c/67/elephant-on-a-mountain.jpg?w=500&h=400&s=1,Art Galleries,"[8.39111045, 5.9576605]"
